                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6566,                 2.0548,                 1.3297,                0.59906,                0.68182,                0.50835,                0.22771,                 1.9056,                 2.6342,                 1.4734,                0.00042,                0.00042,                0.00042
                      2,                 1.3884,                 1.1864,                 1.1984,                0.26584,                0.68182,                0.23439,                0.10825,                 1.7629,                 4.0076,                 1.4306,             0.00085149,             0.00085149,             0.00085149
                      3,                 1.5252,                 1.1049,                 1.2704,                0.71337,                0.62235,                0.64097,                0.29522,                 1.8659,                 1.3182,                 1.5821,              0.0012743,              0.0012743,              0.0012743
                      4,                 1.5781,                 1.0199,                 1.3208,                0.45149,                0.68182,                0.41203,                0.16774,                 1.9638,                 5.4288,                 1.7706,              0.0016883,              0.0016883,              0.0016883
                      5,                 1.5827,                 1.0437,                 1.3163,                0.71477,                   0.75,                 0.7414,                0.35659,                 1.8839,                 1.3286,                 1.6618,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.548,                 1.0545,                 1.3102,                0.64379,                0.82156,                0.79017,                 0.3146,                 1.9922,                  1.393,                 1.8459,               0.001901,               0.001901,               0.001901
                      7,                  1.573,                 1.0083,                 1.3459,                0.69749,                   0.75,                0.70875,                0.33472,                  1.974,                  2.244,                 1.8848,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4806,                 0.9884,                 1.3353,                0.72142,                0.76523,                0.77477,                0.41463,                 1.7726,                 1.1027,                 1.4917,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4045,                0.85746,                 1.2741,                0.80995,                0.70455,                0.79057,                0.42732,                 1.7626,                 1.0932,                  1.515,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4183,                0.88245,                 1.2584,                0.69239,                0.81851,                0.78042,                0.40308,                 1.7406,                 1.1262,                 1.5482,              0.0018218,              0.0018218,              0.0018218
