                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6228,                 2.2499,                 1.3121,                0.74532,                   0.75,                0.79182,                0.38331,                 1.6984,                 1.8403,                 1.3373,                0.00042,                0.00042,                0.00042
                      2,                 1.4902,                 1.1213,                 1.2127,                0.66151,                0.36364,                0.45886,                0.22407,                 1.8523,                 2.3365,                 1.4757,             0.00085716,             0.00085716,             0.00085716
                      3,                 1.5981,                 1.1196,                 1.3705,                0.34671,                0.11364,                0.09238,                0.04451,                 2.9953,                  5.753,                 2.7006,              0.0012914,              0.0012914,              0.0012914
                      4,                 1.5417,                 1.0611,                 1.3321,                0.57142,                0.22727,                 0.2522,                0.13659,                 2.7822,                 4.0658,                 3.1463,              0.0017228,              0.0017228,              0.0017228
                      5,                 1.6097,                  1.091,                  1.317,                0.00271,                0.63636,                0.00231,                0.00122,                  2.217,                 449.16,                 3.6135,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.5661,                 1.0001,                 1.3137,                0.79789,                0.35909,                0.38294,                 0.1904,                 2.3736,                 2.6479,                 2.3824,               0.001967,               0.001967,               0.001967
                      7,                 1.4969,                0.99091,                 1.2941,                0.30232,                0.22727,                0.14259,                0.06511,                 2.3907,                 7.8739,                 2.1761,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.5482,                0.98284,                 1.3738,                 0.7894,                0.59091,                0.73883,                0.36731,                 1.8316,                 1.6039,                 1.6077,              0.0019538,              0.0019538,              0.0019538
                      9,                  1.436,                0.93928,                 1.2898,                0.82939,                0.81818,                0.86469,                0.43212,                 1.8278,                 1.0503,                 1.5397,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.4126,                0.90543,                  1.284,                0.82922,                0.72727,                 0.7948,                0.41472,                 1.8231,                 1.1518,                 1.7344,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.4092,                0.84106,                 1.2502,                0.74295,                0.78835,                0.77688,                0.41873,                 1.6882,                0.98609,                 1.5681,               0.001934,               0.001934,               0.001934
                     12,                 1.3835,                0.82525,                 1.2131,                0.80492,                0.54545,                0.57533,                0.27229,                 1.9801,                 2.2017,                 1.5457,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.2908,                0.81783,                 1.1945,                0.85133,                0.70455,                 0.7582,                0.37644,                 1.8017,                 1.1513,                  1.483,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.4352,                0.82772,                 1.2119,                0.70578,                0.81818,                0.73618,                0.37897,                 1.8326,                  1.264,                 1.5312,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.3527,                0.81113,                 1.2234,                0.67687,                0.65909,                0.69194,                0.33973,                 1.7661,                 1.6634,                 1.5554,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.3525,                0.81729,                  1.218,                0.82249,                0.84251,                0.91048,                0.46432,                 1.6372,                  1.144,                 1.4583,               0.001901,               0.001901,               0.001901
                     17,                 1.3217,                0.76582,                 1.1833,                0.77046,                0.83918,                 0.8573,                0.45876,                 1.6363,                0.91012,                 1.4188,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.2894,                0.82053,                 1.1921,                0.89694,                0.79131,                0.84862,                0.47701,                 1.6373,                0.97526,                 1.4783,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.2804,                0.78505,                 1.1981,                0.75969,                0.86218,                0.88011,                0.44626,                 1.6748,                0.99793,                 1.4834,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.1961,                0.72547,                 1.1831,                0.78019,                0.88636,                0.86711,                0.48796,                 1.7009,                0.89259,                 1.3962,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.2629,                0.73485,                 1.1578,                0.84482,                0.77273,                0.84189,                0.43679,                 1.6879,                 1.0957,                 1.4091,               0.001868,               0.001868,               0.001868
                     22,                 1.2661,                0.72678,                 1.2218,                0.81768,                0.81818,                0.85717,                0.43789,                 1.7267,                 0.9359,                 1.4779,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.2451,                0.73067,                 1.1671,                0.91297,                   0.75,                0.89711,                0.47837,                 1.6145,                0.92676,                 1.3983,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.2342,                0.73494,                 1.1497,                0.87031,                0.76275,                 0.8398,                0.42634,                 1.7303,                 0.8992,                  1.446,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.2186,                0.70641,                 1.1504,                0.89821,                0.80232,                 0.8798,                0.44866,                  1.812,                0.90727,                  1.583,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.2423,                0.72687,                 1.1479,                0.84442,                0.86347,                0.91433,                0.46506,                 1.7065,                0.78733,                 1.4502,               0.001835,               0.001835,               0.001835
                     27,                 1.1543,                0.67056,                 1.1348,                0.79991,                0.90909,                0.90936,                0.43047,                 1.8243,                0.84429,                 1.5122,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.2092,                0.68933,                 1.1525,                  0.884,                0.93182,                0.94574,                0.54475,                   1.54,                0.70694,                 1.4067,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.1894,                0.68143,                  1.112,                0.84935,                0.93182,                0.90323,                0.49432,                 1.5734,                0.77344,                 1.3921,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.2434,                 0.6776,                 1.1372,                0.94141,                0.86364,                0.92809,                0.52607,                 1.6158,                 0.8454,                 1.4487,              0.0018086,              0.0018086,              0.0018086
                     31,                  1.203,                0.69166,                 1.1385,                0.82009,                0.84091,                0.89227,                0.43777,                 1.7995,                0.88651,                 1.5191,               0.001802,               0.001802,               0.001802
                     32,                  1.169,                0.66034,                 1.1161,                0.91577,                0.74139,                0.81208,                0.41618,                 1.8266,                0.88115,                 1.5458,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.1248,                0.64595,                 1.1098,                0.83691,                0.72727,                0.82039,                0.46043,                 1.6449,                0.88463,                  1.494,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.1409,                0.63869,                 1.0982,                0.88025,                0.81818,                0.90509,                0.53683,                 1.6019,                0.77456,                 1.4844,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.1346,                0.64918,                 1.1036,                0.88808,                0.90185,                0.89712,                 0.4985,                 1.7039,                0.77469,                 1.5571,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.1672,                0.66414,                 1.1297,                 0.9031,                0.84737,                0.90397,                0.53919,                 1.5772,                0.78311,                 1.4883,               0.001769,               0.001769,               0.001769
                     37,                  1.108,                0.66541,                 1.1144,                0.89354,                0.86364,                 0.9098,                0.52845,                  1.534,                0.68057,                 1.5144,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.0984,                0.64956,                 1.1327,                0.87115,                0.88636,                0.90816,                0.52358,                  1.566,                0.79507,                 1.5044,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.1637,                0.63952,                 1.1036,                0.95854,                0.84091,                0.92113,                0.50618,                 1.6981,                0.78689,                 1.4993,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.1136,                0.66007,                 1.1179,                0.91776,                0.86364,                0.94038,                0.51346,                  1.663,                0.74118,                 1.4969,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.1318,                0.64983,                 1.0906,                0.79598,                0.62083,                0.75439,                0.40436,                 1.7642,                 1.4948,                  1.638,               0.001736,               0.001736,               0.001736
                     42,                 1.0715,                0.62079,                 1.1009,                 0.8233,                0.84091,                0.88316,                0.49407,                   1.67,                 0.7898,                  1.508,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.0338,                0.58633,                 1.0839,                0.93639,                0.81818,                0.90333,                 0.5088,                 1.7329,                0.74508,                 1.6069,              0.0017228,              0.0017228,              0.0017228
